Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Practice: 🏃 Dryland Training,11/11/25,3:30 PM,11/11/25,5:30 PM,FALSE,"🏃 Dryland Training
Base Building - Hill Repeats

View Workout Plan: https://rapidsnordic.com/workouts/2025-11-11-workout/

[Orange Event]",Grand Rapids HS (meet at front doors),FALSE
Practice: ⛷️ MLK Day Distance Ski,1/19/26,3:30 PM,1/19/26,5:30 PM,FALSE,"⛷️ On-Snow Training
MLK Day Distance Ski - Optional

View Workout Plan: https://rapidsnordic.com/workouts/2026-01-19-workout/

[Blue Event]",Mt. Itasca,FALSE
